STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_FORMS,ROAD_FNC,HARM_EV,MAN_COLL,SCH_BUS,VEH_NO,MAKE,BODY_TYP,MOD_YEAR,ROLLOVER,TOW_VEH,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,IMPACTS,FIRE_EXP,WGTCD_TR,PER_NO,N_MOT_NO,AGE,SEX,PER_TYP,SEAT_POS,LOCATION,EJECTION,EXTRICAT,ALC_DET,DRINKING,INJ_SEV,HOSPITAL,DEATH_MO,DEATH_DA,DEATH_YR,DEATH_HR,DEATH_MN,LAG_HRS,LAG_MINS,P_CF1,P_CF2,P_CF3,WORK_INJ,ST_CASE,MAK_MOD,VIN_WGT,WHLBS_SH,WHLBS_LG,MCYCL_DS,DEATH_TM,CERT_NO,SER_TR,VINA_MOD,VIN_BT,REST_USE,AIR_BAG,EJ_PATH,DRUGS,DRUG_DET,DRUGTEST,DRUG_RES,ALC_RES
48,141,4,20,21,25,1,11,1,0,0,1,12,6,91,1,0,0,0,0,0,0,0,,1,0,40,1,1,11,0,0,0,9,8,4,0,4,20,92,22,50,1,25,0,0,0,0,481279,12017,3276,1060,0,,2250,************,***,TAL,SW,3,9,0,8,8,0,0,96
51,111,4,20,18,45,1,6,37,0,0,1,35,2,87,2,0,0,0,12,12,1,0,,1,0,29,2,1,11,0,1,0,9,0,4,0,4,20,92,19,0,0,15,0,0,0,0,510203,35043,2087,957,0,,1900,************,***,USN,2D,0,9,9,8,8,1,1,15
51,111,4,20,18,45,1,6,37,0,0,1,35,2,87,2,0,0,0,12,12,1,0,,2,0,17,2,2,13,0,0,0,9,0,3,1,0,0,0,0,0,,,0,0,0,8,510203,35043,2087,957,0,,0,000000000000,***,USN,2D,0,9,0,8,8,0,0,96
51,111,4,20,18,45,1,6,37,0,0,1,35,2,87,2,0,0,0,12,12,1,0,,3,0,16,2,2,21,0,1,0,9,8,4,0,4,20,92,19,0,0,15,0,0,0,0,510203,35043,2087,957,0,,1900,************,***,USN,2D,0,9,9,8,8,1,1,0
51,111,4,20,18,45,1,6,37,0,0,1,35,2,87,2,0,0,0,12,12,1,0,,4,0,20,2,2,23,0,1,0,9,8,3,1,0,0,0,0,0,,,0,0,0,8,510203,35043,2087,957,0,,0,000000000000,***,USN,2D,0,9,9,8,8,0,0,96
54,47,4,20,20,0,1,3,36,0,0,1,12,6,79,2,0,0,0,12,12,1,0,,1,0,42,1,1,11,0,0,0,1,1,3,1,0,0,0,0,0,,,0,0,0,8,540191,12012,2674,1055,0,,0,000000000000,***,FMT,SW,0,9,0,0,1,1,1,4
54,47,4,20,20,0,1,3,36,0,0,1,12,6,79,2,0,0,0,12,12,1,0,,2,0,62,1,2,21,0,0,1,5,1,4,1,4,20,92,21,58,1,58,0,0,0,0,540191,12012,2674,1055,0,,2158,************,***,FMT,SW,0,9,0,8,8,0,0,96
54,47,4,20,20,0,1,3,36,0,0,1,12,6,79,2,0,0,0,12,12,1,0,,3,0,51,1,2,13,0,0,1,5,1,3,1,0,0,0,0,0,,,0,0,0,8,540191,12012,2674,1055,0,,0,000000000000,***,FMT,SW,0,9,0,8,8,0,0,96
55,105,4,20,16,20,2,4,12,4,0,1,18,6,81,0,0,0,0,3,3,2,0,,1,0,32,1,1,11,0,0,0,9,8,4,0,4,20,92,17,15,0,55,0,0,0,0,550126,18007,3311,1080,0,,1715,************,***,CES,SW,0,9,0,8,8,1,1,26
55,105,4,20,16,20,2,4,12,4,0,2,21,2,79,0,0,0,0,12,12,1,0,,1,0,26,1,1,11,0,0,0,9,8,3,1,0,0,0,0,0,,,0,0,0,8,550126,21001,3116,1081,0,,0,000000000000,***,CBR,CP,0,9,0,8,8,0,0,96
55,105,4,20,16,20,2,4,12,4,0,2,21,2,79,0,0,0,0,12,12,1,0,,2,0,25,2,2,13,0,0,0,9,8,3,1,0,0,0,0,0,,,0,0,0,8,550126,21001,3116,1081,0,,0,000000000000,***,CBR,CP,0,9,0,8,8,0,0,96
55,105,4,20,16,20,2,4,12,4,0,2,21,2,79,0,0,0,0,12,12,1,0,,3,0,99,9,2,21,0,0,0,9,8,0,0,0,0,0,0,0,,,0,0,0,8,550126,21001,3116,1081,0,,0,000000000000,***,CBR,CP,2,9,0,8,8,0,0,96
55,105,4,20,16,20,2,4,12,4,0,2,21,2,79,0,0,0,0,12,12,1,0,,4,0,99,9,2,23,0,0,0,9,8,0,0,0,0,0,0,0,,,0,0,0,8,550126,21001,3116,1081,0,,0,000000000000,***,CBR,CP,4,9,0,8,8,0,0,96
